customer_id,age,gender,income,spending
1,56,Female,29753.57,18463.99
2,38,Male,27229.16,17199.95
3,28,Female,26668.54,17285.73
4,20,Female,25282.06,18444.0
5,47,Female,25003.89,18984.42
6,50,Female,28058.27,17014.13
7,42,Male,27623.87,17799.72
8,45,Female,26831.81,17912.14
9,64,Female,25998.37,18028.47
10,20,Male,28037.72,17341.05
11,56,Female,29744.43,18931.26
12,26,Female,25488.36,18368.47
13,64,Female,25610.19,17990.35
14,64,Male,29546.6,17517.56
15,57,Female,26558.56,18040.14
16,59,Female,25924.27,18939.17
17,43,Female,29697.49,18789.65
18,31,Male,29609.37,17176.99
19,40,Female,25226.14,17650.66
20,33,Male,26356.75,18657.48
21,43,Male,26404.67,18085.39
22,58,Male,29010.98,17149.1
23,24,Male,28861.22,17397.43
24,41,Male,29077.31,18413.71
25,52,Male,28856.35,17148.09
26,56,Female,25579.35,18726.21
27,25,Female,26654.49,17127.12
28,40,Female,26625.92,18459.21
29,57,Female,29436.06,17944.43
30,54,Male,28566.22,18521.57
31,43,Male,28854.84,17987.59
32,26,Male,27137.71,17050.84
33,30,Male,25157.15,18272.82
34,49,Female,29537.83,17498.58
35,62,Male,28777.76,17457.6
36,49,Male,26448.76,17322.44
37,19,Female,29040.6,18266.81
38,23,Female,29018.36,17373.14
39,47,Female,27696.71,18614.88
40,45,Male,26590.02,17220.1
41,44,Female,25002.6,17705.14
42,20,Male,25823.28,18068.18
43,54,Male,25599.33,17675.23
44,32,Male,26616.01,18037.58
45,58,Female,26818.15,18943.56
46,29,Female,28481.52,18424.54
47,54,Male,29988.7,17533.56
48,19,Female,27055.19,17066.1
49,49,Male,28171.76,18361.41
50,61,Female,29928.25,17484.11
51,21,Male,97616.2,2475.28
52,55,Female,94703.01,3966.85
53,39,Male,98164.32,3596.69
54,26,Female,95081.99,3391.63
55,20,Female,93259.59,2440.48
56,43,Male,98095.01,2697.33
57,24,Female,99405.23,2795.14
58,56,Female,98377.1,3351.38
59,42,Female,99246.94,3754.68
60,52,Male,96599.84,3634.44
61,19,Male,90931.03,3794.43
62,54,Female,96331.01,2678.06
63,52,Male,97259.56,3794.22
64,41,Female,97798.76,3284.06
65,28,Male,91616.29,3797.11
66,37,Female,90091.97,2202.94
67,52,Male,90050.62,2321.62
68,35,Female,96918.95,3303.92
69,58,Female,97121.79,2474.5
70,38,Female,97464.91,3299.27
71,24,Male,96576.13,3136.62
72,29,Male,93677.16,2530.4
73,63,Female,99730.11,2786.2
74,25,Male,94343.94,2700.16
75,50,Female,96689.24,3728.34
76,36,Female,90243.16,3290.94
77,34,Female,99404.59,3907.86
78,23,Male,97477.19,3906.14
79,46,Male,95527.65,3144.58
80,50,Female,92944.49,2770.2
81,40,Male,93169.22,2338.99
82,42,Female,99361.55,3392.06
83,57,Female,90971.76,3230.01
84,39,Male,91400.84,3036.66
85,19,Female,97407.69,3394.03
86,60,Female,93594.91,2587.18
87,43,Male,92562.07,3223.03
88,24,Male,96278.94,2388.55
89,25,Female,93967.84,2101.54
90,40,Male,93755.83,2187.96
91,40,Male,90359.42,2931.2
92,39,Female,98604.05,2500.5
93,59,Female,93032.66,3074.16
94,54,Male,98278.69,2543.09
95,61,Male,94572.65,3684.05
96,49,Female,94113.54,3399.02
97,57,Female,91327.45,3939.07
98,59,Female,90410.68,2797.64
99,36,Female,97440.43,2501.72
100,43,Male,90808.73,2856.63
101,29,Male,55581.94,12745.64
102,64,Female,57397.87,10281.62
103,42,Female,64346.14,11914.81
104,56,Female,60543.54,11835.16
105,20,Female,60660.37,10475.94
106,39,Male,58418.8,10275.4
107,64,Male,58114.13,12938.53
108,22,Female,55171.61,12290.09
109,38,Male,58463.04,11394.02
110,54,Male,55480.59,12847.44
111,53,Female,57608.94,10045.91
112,36,Female,60010.4,11618.13
113,62,Female,61158.51,12831.67
114,19,Male,63671.99,11909.21
115,37,Female,61771.68,11720.1
116,50,Male,63112.04,12461.92
117,29,Male,63204.27,11954.45
118,60,Female,57739.61,10643.77
119,63,Female,55389.63,11854.76
120,40,Male,61557.23,11156.19
121,27,Female,58406.25,10782.08
122,24,Female,61928.9,11045.01
123,28,Male,55391.86,11253.84
